UniProt ID,Gene,Protein Name,Panel
P24592,IGFBP6,Insulin-like growth factor-binding protein 6,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic"
P24821,TNC,Tenascin,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic"
P27487,DPP4,Dipeptidyl peptidase 4,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic"
P35443,THBS4,Thrombospondin-4,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic"
P55774,CCL18,C-C motif chemokine 18,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic"
P59665,"DEFA1, DEFA1B",Neutrophil defensin 1,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic"
Q14515,SPARCL1,SPARC-like protein 1,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic"
Q15485,FCN2,Ficolin-2,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic"
Q16627,CCL14,C-C motif chemokine 14,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic"
Q16853,AOC3,Membrane primary amine oxidase,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic"
Q96KN2,CNDP1,Beta-Ala-His dipeptidase,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic"
Q99650,OSMR,Oncostatin-M-specific receptor subunit beta,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic"
Q9BXJ1,C1QTNF1,Complement C1q tumor necrosis factor-related protein 1,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic"
Q9UGM5,FETUB,Fetuin-B,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic"
Q9Y5C1,ANGPTL3,Angiopoietin-related protein 3,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic"
O95998,IL18BP,Interleukin-18-binding protein,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III"
P02786,TFRC,Transferrin receptor protein 1,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III"
P08887,IL6R,Interleukin-6 receptor subunit alpha,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III"
P10646,TFPI,Tissue factor pathway inhibitor,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III"
P15144,ANPEP,Aminopeptidase N,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III"
P16109,SELP,P-selectin,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III"
P36222,CHI3L1,Chitinase-3-like protein 1,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III"
P98160,HSPG2,Basement membrane-specific heparan sulfate proteoglycan core protein,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III"
Q07654,TFF3,Trefoil factor 3,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III"
Q86VB7,CD163,Scavenger receptor cysteine-rich type 1 protein M130,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III"
Q99969,RARRES2,Retinoic acid receptor responder protein 2,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III"
Q9NPY3,CD93,Complement component C1q receptor,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III"
P05556,ITGB1,Integrin beta-1,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Development"
O43186,CRX,Cone-rod homeobox protein,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cell Regulation"
O95183,VAMP5,Vesicle-associated membrane protein 5,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cell Regulation"
O95988,TCL1B,T-cell leukemia/lymphoma protein 1B,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cell Regulation"
Q12912,IRAG2,"Inositol 1,4,5-triphosphate receptor associated 2","Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cell Regulation"
Q92558,WASF1,Actin-binding protein WASF1,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cell Regulation"
Q9H5Y7,SLITRK6,SLIT and NTRK-like protein 6,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cell Regulation"
P22004,BMP6,Bone morphogenetic protein 6,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular II"
P35218,CA5A,"Carbonic anhydrase 5A, mitochondrial","Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular II"
P51161,FABP6,Gastrotropin,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular II"
Q04760,GLO1,Lactoylglutathione lyase,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular II"
Q9BWV1,BOC,Brother of CDO,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular II, Olink Target 96 Cell Regulation"
Q9BYF1,ACE2,Angiotensin-converting enzyme 2,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular II"
Q9UKP3,ITGB1BP2,Integrin beta-1-binding protein 2,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular II"
O75356,ENTPD5,Nucleoside diphosphate phosphatase ENTPD5,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Metabolism"
P09668,CTSH,Pro-cathepsin H,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Metabolism"
P21964,COMT,Catechol O-methyltransferase,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Metabolism"
P25815,S100P,Protein S100-P,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Metabolism"
P40818,USP8,Ubiquitin carboxyl-terminal hydrolase 8,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Metabolism"
P46379,BAG6,Large proline-rich protein BAG6,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Metabolism"
Q9NWQ8,PAG1,Phosphoprotein associated with glycosphingolipid-enriched microdomains 1,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Metabolism"
O14793,MSTN,Growth/differentiation factor 8,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Neurology"
Q16619,CTF1,Cardiotrophin-1,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Neuro Exploratory"
O43854,EDIL3,EGF-like repeat and discoidin I-like domain-containing protein 3,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Organ Damage"
P19429,TNNI3,"Troponin I, cardiac muscle","Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Organ Damage"
P21246,PTN,Pleiotrophin,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Immuno-Oncology, Olink Target 96 Organ Damage"
Q15165,PON2,Serum paraoxonase/arylesterase 2,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Organ Damage"
Q8NC01,CLEC1A,C-type lectin domain family 1 member A,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Organ Damage"
Q9UKL0,RCOR1,REST corepressor 1,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Organ Damage"
P20718,GZMH,Granzyme H,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Immuno-Oncology, Olink Target 96 Oncology II"
Q9Y2B0,CNPY2,Protein canopy homolog 2,"Explore HT assay library, Olink Explore Cardiometabolic, Olink Target 96 Oncology III"
P51580,TPMT,Thiopurine S-methyltransferase,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Oncology III"
P13611,VCAN,Versican core protein,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Metabolism"
Q14435,GALNT3,Polypeptide N-acetylgalactosaminyltransferase 3,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Immune Response"
Q8TE58,ADAMTS15,A disintegrin and metalloproteinase with thrombospondin motifs 15,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Oncology II"
P35475,IDUA,Alpha-L-iduronidase,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Cardiovascular II"
P15509,CSF2RA,Granulocyte-macrophage colony-stimulating factor receptor subunit alpha,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neurology"
P51888,PRELP,Prolargin,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Cardiovascular II"
Q9BXJ7,AMN,Protein amnionless,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Organ Damage"
P15848,ARSB,Arylsulfatase B,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Cell Regulation"
Q9HCB6,SPON1,Spondin-1,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Cardiovascular III"
P35052,GPC1,Glypican-1,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Oncology II"
Q14118,DAG1,Dystroglycan 1,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Development"
P32927,CSF2RB,Cytokine receptor common subunit beta,"Explore HT assay library, Olink Explore Inflammation II, Flex assay library"
Q99983,OMD,Osteomodulin,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Development"
P16278,GLB1,Beta-galactosidase,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Immune Response"
O14594,NCAN,Neurocan core protein,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neurology"
P78333,GPC5,Glypican-5,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neurology"
P15291,B4GALT1,"Beta-1,4-galactosyltransferase 1","Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Development"
O43505,B4GAT1,"Beta-1,4-glucuronyltransferase 1","Explore HT assay library, Olink Explore Neurology, Olink Target 96 Development"
P35442,THBS2,Thrombospondin-2,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Cardiovascular II"
Q5T4W7,ARTN,Artemin,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Inflammation"
Q02763,TEK,Angiopoietin-1 receptor,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Cardiovascular II, Olink Target 96 Immuno-Oncology"
O75509,TNFRSF21,Tumor necrosis factor receptor superfamily member 21,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Immuno-Oncology, Olink Target 96 Neurology"
Q9UHF4,IL20RA,Interleukin-20 receptor subunit alpha,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Inflammation"
Q8NFT8,DNER,Delta and Notch-like epidermal growth factor-related receptor,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Inflammation"
P80511,S100A12,Protein S100-A12,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Inflammation"
O95750,FGF19,Fibroblast growth factor 19,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Inflammation"
Q99748,NRTN,Neurturin,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Inflammation"
P78423,CX3CL1,Fractalkine,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Immuno-Oncology, Olink Target 96 Inflammation"
Q9BZW8,CD244,Natural killer cell receptor 2B4,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Immuno-Oncology, Olink Target 96 Inflammation"
P14784,IL2RB,Interleukin-2 receptor subunit beta,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Inflammation"
Q8N6P7,IL22RA1,Interleukin-22 receptor subunit alpha-1,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Inflammation"
Q13007,IL24,Interleukin-24,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Inflammation"
P98170,XIAP,E3 ubiquitin-protein ligase XIAP,"Explore HT assay library, Olink Explore Inflammation II, Flex assay library"
P50135,HNMT,Histamine N-methyltransferase,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Immune Response"
P29474,NOS3,Nitric oxide synthase 3,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Immuno-Oncology, Olink Target 96 Organ Damage"
Q16698,DECR1,"2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing], mitochondrial","Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Cardiovascular II"
Q03426,MVK,Mevalonate kinase,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Organ Damage"
Q9UKK9,NUDT5,ADP-sugar pyrophosphatase,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Development"
Q04609,FOLH1,Glutamate carboxypeptidase 2,"Explore HT assay library, Olink Explore Inflammation II, Flex assay library"
Q96IU4,ABHD14B,Putative protein-lysine deacylase ABHD14B,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neuro Exploratory"
Q03393,PTS,6-pyruvoyl tetrahydrobiopterin synthase,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neuro Exploratory"
O60243,HS6ST1,Heparan-sulfate 6-O-sulfotransferase 1,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Cell Regulation"
P49441,INPP1,Inositol polyphosphate 1-phosphatase,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Oncology III"
Q06520,SULT2A1,Sulfotransferase 2A1,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Cell Regulation"
O94760,DDAH1,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1","Explore HT assay library, Olink Explore Oncology, Olink Target 96 Cell Regulation"
P28907,CD38,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Neurology"
Q9ULX7,CA14,Carbonic anhydrase 14,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Organ Damage"
P00918,CA2,Carbonic anhydrase 2,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Development"
Q9P0J1,PDP1,"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial","Explore HT assay library, Olink Explore Oncology, Olink Target 96 Organ Damage"
P19801,AOC1,Amiloride-sensitive amine oxidase [copper-containing],"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Neuro Exploratory"
Q9Y5L3,ENTPD2,Ectonucleoside triphosphate diphosphohydrolase 2,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Organ Damage"
Q9H477,RBKS,Ribokinase,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neuro Exploratory"
Q9NPH0,ACP6,Lysophosphatidic acid phosphatase type 6,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Metabolism"
Q8TCT1,PHOSPHO1,Phosphoethanolamine/phosphocholine phosphatase,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neuro Exploratory"
P16671,CD36,Platelet glycoprotein 4,"Explore HT assay library, Olink Explore Inflammation II, Flex assay library"
Q11201,ST3GAL1,"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 1","Explore HT assay library, Olink Explore Oncology, Olink Target 96 Organ Damage"
P35613,BSG,Basigin,"Explore HT assay library, Olink Explore Inflammation, Flex assay library"
Q0Z7S8,FABP9,Fatty acid-binding protein 9,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Organ Damage"
O00748,CES2,Cocaine esterase,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Organ Damage"
P16444,DPEP1,Dipeptidase 1,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neuro Exploratory"
O43570,CA12,Carbonic anhydrase 12,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Organ Damage"
P30838,ALDH3A1,"Aldehyde dehydrogenase, dimeric NADP-preferring","Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Organ Damage"
Q99895,CTRC,Chymotrypsin-C,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Cardiovascular II"
O60240,PLIN1,Perilipin-1,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Organ Damage"
P43490,NAMPT,Nicotinamide phosphoribosyltransferase,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Oncology III"
Q07954,LRP1,Prolow-density lipoprotein receptor-related protein 1,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Organ Damage"
P15121,AKR1B1,Aldo-keto reductase family 1 member B1,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Oncology III"
P23280,CA6,Carbonic anhydrase 6,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Development"
Q10588,BST1,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Development"
Q7LG56,RRM2B,Ribonucleoside-diphosphate reductase subunit M2 B,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Organ Damage"
Q14353,GAMT,Guanidinoacetate N-methyltransferase,"Explore HT assay library, Olink Explore Cardiometabolic II, Olink Target 96 Oncology III"
Q9Y662,HS3ST3B1,Heparan sulfate glucosamine 3-O-sulfotransferase 3B1,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Cell Regulation"
O15496,PLA2G10,Group 10 secretory phospholipase A2,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neuro Exploratory"
P47712,PLA2G4A,Cytosolic phospholipase A2,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Development"
O95379,TNFAIP8,Tumor necrosis factor alpha-induced protein 8,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Oncology III"
P00352,ALDH1A1,Aldehyde dehydrogenase 1A1,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Metabolism"
P21589,NT5E,5'-nucleotidase,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Oncology II"
O15357,INPPL1,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2","Explore HT assay library, Olink Explore Oncology, Olink Target 96 Organ Damage"
P09960,LTA4H,Leukotriene A-4 hydrolase,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Organ Damage"
Q9H4A9,DPEP2,Dipeptidase 2,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Neuro Exploratory"
Q96I15,SCLY,Selenocysteine lyase,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Oncology III"
Q9HAN9,NMNAT1,Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neurology"
Q9NR71,ASAH2,Neutral ceramidase,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neurology"
P01229,LHB,Lutropin subunit beta,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Organ Damage"
Q9BY76,ANGPTL4,Angiopoietin-related protein 4,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Development"
Q9NZ53,PODXL2,Podocalyxin-like protein 2,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Cell Regulation"
P09110,ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal","Explore HT assay library, Olink Explore Oncology, Olink Target 96 Oncology III"
Q8NBJ7,SUMF2,Inactive C-alpha-formylglycine-generating enzyme 2,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Metabolism"
P08397,HMBS,Porphobilinogen deaminase,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Oncology III"
Q15126,PMVK,Phosphomevalonate kinase,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neuro Exploratory"
P17405,SMPD1,Sphingomyelin phosphodiesterase,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neurology"
Q15166,PON3,Serum paraoxonase/lactonase 3,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Cardiovascular III"
Q9Y5Y7,LYVE1,Lymphatic vessel endothelial hyaluronic acid receptor 1,"Explore HT assay library, Olink Explore Inflammation II, Olink Target 96 Cardiometabolic"
P29218,IMPA1,Inositol monophosphatase 1,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neuro Exploratory"
P11226,MBL2,Mannose-binding protein C,"Explore HT assay library, Olink Explore Inflammation II, Olink Target 96 Cardiometabolic"
P48740,MASP1,Mannan-binding lectin serine protease 1,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Immune Response"
Q9BXR6,CFHR5,Complement factor H-related protein 5,"Explore HT assay library, Olink Explore Inflammation II, Olink Target 96 Cardiometabolic"
P0DOY2,IGLC2,Immunoglobulin lambda constant 2,"Explore HT assay library, Olink Explore Inflammation II, Olink Target 96 Cardiometabolic"
Q9UKS7,IKZF2,Zinc finger protein Helios,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Neuro Exploratory"
Q13490,BIRC2,Baculoviral IAP repeat-containing protein 2,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Immune Response"
P78310,CXADR,Coxsackievirus and adenovirus receptor,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Immune Response"
P06730,EIF4E,Eukaryotic translation initiation factor 4E,"Explore HT assay library, Olink Explore Inflammation II, Flex assay library"
P36888,FLT3,Receptor-type tyrosine-protein kinase FLT3,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Oncology III"
P00519,ABL1,Tyrosine-protein kinase ABL1,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Oncology II"
P08700,IL3,Interleukin-3,"Explore HT assay library, Olink Explore Oncology II, Flex assay library"
P43629,KIR3DL1,Killer cell immunoglobulin-like receptor 3DL1,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Immuno-Oncology, Olink Target 96 Organ Damage"
P08473,MME,Neprilysin,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Neurology"
P05164,MPO,Myeloperoxidase,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Cardiovascular III"
P11274,BCR,Breakpoint cluster region protein,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Cell Regulation"
P00995,SPINK1,Serine protease inhibitor Kazal-type 1,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Development"
P56279,TCL1A,T-cell leukemia/lymphoma protein 1A,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Oncology II"
P20273,CD22,B-cell receptor CD22,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Oncology III"
P20138,CD33,Myeloid cell surface antigen CD33,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Neuro Exploratory"
P49789,FHIT,Bis(5'-adenosyl)-triphosphatase,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neuro Exploratory"
Q01543,FLI1,Friend leukemia integration 1 transcription factor,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Cell Regulation"
Q05516,ZBTB16,Zinc finger and BTB domain-containing protein 16,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Cell Regulation, Olink Target 96 Immune Response"
Q9C035,TRIM5,Tripartite motif-containing protein 5,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Immune Response"
P17948,FLT1,Vascular endothelial growth factor receptor 1,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Oncology III"
P27695,APEX1,DNA-(apurinic or apyrimidinic site) endonuclease,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Metabolism"
P16871,IL7R,Interleukin-7 receptor subunit alpha,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Cardiometabolic"
P26447,S100A4,Protein S100-A4,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Oncology II"
P12931,SRC,Proto-oncogene tyrosine-protein kinase Src,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Cardiovascular II"
Q12866,MERTK,Tyrosine-protein kinase Mer,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Cardiovascular II"
Q9UHD8,SEPTIN9,Septin-9,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Oncology III"
P25116,F2R,Proteinase-activated receptor 1,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Cardiovascular II"
O00548,DLL1,Delta-like protein 1,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Oncology II"
P11215,ITGAM,Integrin alpha-M,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Cardiometabolic"
P16284,PECAM1,Platelet endothelial cell adhesion molecule,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Cardiovascular III"
P29350,PTPN6,Tyrosine-protein phosphatase non-receptor type 6,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Development"
P04216,THY1,Thy-1 membrane glycoprotein,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neurology"
Q9UQQ2,SH2B3,SH2B adapter protein 3,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Immune Response"
P46109,CRKL,Crk-like protein,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Metabolism"
P26951,IL3RA,Interleukin-3 receptor subunit alpha,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Neuro Exploratory"
O43524,FOXO3,Forkhead box protein O3,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Oncology III"
P35916,FLT4,Vascular endothelial growth factor receptor 3,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Oncology II"
P05067,APP,Amyloid-beta precursor protein,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Development"
P14151,SELL,L-selectin,"Explore HT assay library, Olink Explore Inflammation II, Olink Target 96 Cardiometabolic"
Q02246,CNTN2,Contactin-2,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Organ Damage"
O14763,TNFRSF10B,Tumor necrosis factor receptor superfamily member 10B,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Cardiovascular II"
P07332,FES,Tyrosine-protein kinase Fes/Fps,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Organ Damage"
P05187,ALPP,"Alkaline phosphatase, placental type","Explore HT assay library, Olink Explore Oncology, Olink Target 96 Oncology III"
P20809,IL11,Interleukin-11,"Explore HT assay library, Olink Explore Inflammation, Flex assay library"
Q6GTX8,LAIR1,Leukocyte-associated immunoglobulin-like receptor 1,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Development"
P09466,PAEP,Glycodelin,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neuro Exploratory"
P01127,PDGFB,Platelet-derived growth factor subunit B,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Cardiovascular II, Olink Target 96 Immuno-Oncology"
Q13308,PTK7,Inactive tyrosine-protein kinase 7,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Organ Damage"
P15151,PVR,Poliovirus receptor,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neurology"
P07949,RET,Proto-oncogene tyrosine-protein kinase receptor Ret,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Oncology II"
P78362,SRPK2,SRSF protein kinase 2,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Immune Response"
Q10589,BST2,Bone marrow stromal antigen 2,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Neuro Exploratory"
P01258,CALCA,Calcitonin,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Organ Damage"
P48307,TFPI2,Tissue factor pathway inhibitor 2,"Explore HT assay library, Olink Explore Oncology, Olink Target 96 Oncology II"
P42575,CASP2,Caspase-2,"Explore HT assay library, Olink Explore Inflammation, Olink Target 96 Oncology III"
Q8TDQ0,HAVCR2,Hepatitis A virus cellular receptor 2,"Explore HT assay library, Olink Explore Neurology, Olink Target 96 Development"
